,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
0,Vasquez High,1,0,11.0,6.0,101750,2571,0.009425412361790828,0.2572050027188689,0.28729381910458585,0.06217147000181258
1,Adelanto High,1,0,44.0,31.0,61872,15607,0.014524414004841472,0.35280746295093585,0.17441105272480367,0.02698234634232745
2,Alameda Community Learning Center,1,1,28.0,22.0,96014,25477,0.019494569669978784,0.15013759636997667,0.39337856857761067,0.2186416822469172
3,Alameda High,1,0,208.0,145.0,96014,25477,0.019494569669978784,0.15013759636997667,0.39337856857761067,0.2186416822469172
4,Alameda High,1,0,37.0,28.0,96014,25477,0.019494569669978784,0.15013759636997667,0.39337856857761067,0.2186416822469172
5,Encinal Junior/Senior High,1,0,84.0,57.0,96014,25477,0.019494569669978784,0.15013759636997667,0.39337856857761067,0.2186416822469172
6,Nea Community Learning Center,1,1,25.0,17.0,96014,25477,0.019494569669978784,0.15013759636997667,0.39337856857761067,0.2186416822469172
7,Albany High,1,0,165.0,106.0,107669,8129,0.007413897688211902,0.08755139179079328,0.37453663139448673,0.4078991709914403
8,Alhambra High,1,0,206.0,124.0,66804,20142,0.04451997011111915,0.24940342757972378,0.32860896184346905,0.12558150746016825
9,Mark Keppel High,1,0,257.0,190.0,66804,20142,0.04451997011111915,0.24940342757972378,0.32860896184346905,0.12558150746016825
10,Aliso Niguel High,1,0,274.0,152.0,116350,19235,0.009813150763086578,0.1194408786193125,0.4353159321066895,0.20861503351875624
11,Alta Loma High,1,0,109.0,76.0,100653,13347,0.014295774647887324,0.22140845070422535,0.3348239436619718,0.1269718309859155
12,Aveson Global Leadership Academy,1,1,8.0,6.0,104577,12460,0.02033333333333333,0.1605925925925926,0.3148518518518518,0.23155555555555554
13,American Canyon High,1,0,87.0,50.0,108638,5147,0.03794539565016196,0.2217337652321456,0.33109671448403516,0.08074965293845442
14,Anaheim High,1,0,129.0,84.0,71253,20112,0.05204044236531787,0.2702912453920279,0.22060059930584,0.06488886972643197
15,Canyon High,1,0,212.0,141.0,120435,12460,0.009049946540400183,0.18729952650068735,0.36593096074537956,0.16538109057583625
16,Esperanza High,1,0,94.0,58.0,120435,12460,0.009049946540400183,0.18729952650068735,0.36593096074537956,0.16538109057583625
17,Katella High,1,0,116.0,83.0,77570,12501,0.024286448015261575,0.2837332159366058,0.27874385501504145,0.07685817007850906
18,Loara High,1,0,98.0,56.0,66936,24772,0.0518479623293472,0.31874385988685255,0.2540567092381178,0.04820624004878214
19,Magnolia High,1,0,50.0,33.0,66936,24772,0.0518479623293472,0.31874385988685255,0.2540567092381178,0.04820624004878214
20,Savanna High,1,0,83.0,47.0,65683,18240,0.039406067208184334,0.3098728301797428,0.21114452838231462,0.05074952044900182
21,Western High,1,0,62.0,32.0,66936,24772,0.0518479623293472,0.31874385988685255,0.2540567092381178,0.04820624004878214
22,Anderson New Technology High,1,1,5.0,4.0,48996,9366,0.007318814709032488,0.3477924550755683,0.2126621444722123,0.035166012138521954
