,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
0,Alameda High,1,0,42.0,38.0,96014,25477,0.019494569669978784,0.15013759636997667,0.39337856857761067,0.2186416822469172
1,Alameda High,1,0,10.0,9.0,96014,25477,0.019494569669978784,0.15013759636997667,0.39337856857761067,0.2186416822469172
2,Encinal Junior/Senior High,1,0,16.0,14.0,96014,25477,0.019494569669978784,0.15013759636997667,0.39337856857761067,0.2186416822469172
3,Albany High,1,0,36.0,25.0,107669,8129,0.007413897688211902,0.08755139179079328,0.37453663139448673,0.4078991709914403
4,Alhambra High,1,0,23.0,21.0,66804,20142,0.04451997011111915,0.24940342757972378,0.32860896184346905,0.12558150746016825
5,Mark Keppel High,1,0,41.0,40.0,66804,20142,0.04451997011111915,0.24940342757972378,0.32860896184346905,0.12558150746016825
6,Aliso Niguel High,1,0,40.0,36.0,116350,19235,0.009813150763086578,0.1194408786193125,0.4353159321066895,0.20861503351875624
7,Alta Loma High,1,0,6.0,6.0,100653,13347,0.014295774647887324,0.22140845070422535,0.3348239436619718,0.1269718309859155
8,American Canyon High,1,0,18.0,17.0,108638,5147,0.03794539565016196,0.2217337652321456,0.33109671448403516,0.08074965293845442
9,Canyon High,1,0,19.0,17.0,120435,12460,0.009049946540400183,0.18729952650068735,0.36593096074537956,0.16538109057583625
10,Esperanza High,1,0,14.0,13.0,120435,12460,0.009049946540400183,0.18729952650068735,0.36593096074537956,0.16538109057583625
11,Katella High,1,0,20.0,17.0,77570,12501,0.024286448015261575,0.2837332159366058,0.27874385501504145,0.07685817007850906
12,Western High,1,0,8.0,6.0,66936,24772,0.0518479623293472,0.31874385988685255,0.2540567092381178,0.04820624004878214
13,Antioch High,1,0,17.0,13.0,68224,21744,0.022311000502106666,0.3454275547405418,0.2139847621542559,0.04171851463750082
14,Dozier-Libbey Medical High,1,0,9.0,8.0,104275,12049,0.02638888888888889,0.24711538461538463,0.33600427350427353,0.08173076923076923
15,Granite Hills High,1,0,11.0,10.0,59084,12946,0.01963758282110641,0.3240999441206993,0.24024107926877944,0.07587610760756765
16,Pierce High,1,0,5.0,5.0,64923,1545,0.08787784356497351,0.2489872234340916,0.21128077282642568,0.04144593331255843
17,Arcadia High,1,0,89.0,84.0,84833,11763,0.027239829800771463,0.18169165307989024,0.44263729271881336,0.1810951604565157
18,Arvin High,1,0,34.0,32.0,40045,5077,0.10514122783569456,0.2659716653301256,0.05346164127238706,0.007751937984496124
19,Menlo-Atherton High,1,0,42.0,36.0,169352,15194,0.010299847535151618,0.0997797729967813,0.3157038793833644,0.42547857021853297
20,Atwater High,1,0,51.0,40.0,60993,12719,0.039184027094081045,0.28484227936832984,0.20147284684755642,0.04241326349781436
21,Buhach Colony High,1,0,49.0,46.0,60993,12719,0.039184027094081045,0.28484227936832984,0.20147284684755642,0.04241326349781436
22,Avenal High,1,0,30.0,24.0,49781,2752,0.04211332312404288,0.25280755487493617,0.07491066870852475,0.021184277692700357
23,Bakersfield High,1,0,16.0,13.0,31089,4793,0.011861568518001674,0.3078425900083729,0.20220485626569915,0.059168294725090706
24,Centennial High,1,0,12.0,9.0,97615,18584,0.009698697523617865,0.22701101235396054,0.3200290681424339,0.10976018782492034
25,East Bakersfield High,1,0,18.0,14.0,54450,21974,0.03781454511936584,0.3097750944787538,0.18566227302055488,0.06936123144990322
26,Frontier High,1,0,7.0,7.0,110877,9909,0.009960259570400925,0.196539061320992,0.3080134815634589,0.14482619850093062
