,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
0,Adelanto High,1,0,36.0,24.0,61872,15607,0.014524414004841472,0.35280746295093585,0.17441105272480367,0.02698234634232745
1,Alameda Community Learning Center,1,1,3.0,,96014,25477,0.019494569669978784,0.15013759636997667,0.39337856857761067,0.2186416822469172
2,Alameda High,1,0,71.0,53.0,96014,25477,0.019494569669978784,0.15013759636997667,0.39337856857761067,0.2186416822469172
3,Alameda High,1,0,6.0,6.0,96014,25477,0.019494569669978784,0.15013759636997667,0.39337856857761067,0.2186416822469172
4,Encinal Junior/Senior High,1,0,25.0,15.0,96014,25477,0.019494569669978784,0.15013759636997667,0.39337856857761067,0.2186416822469172
5,Albany High,1,0,57.0,33.0,107669,8129,0.007413897688211902,0.08755139179079328,0.37453663139448673,0.4078991709914403
6,Alhambra High,1,0,97.0,63.0,66804,20142,0.04451997011111915,0.24940342757972378,0.32860896184346905,0.12558150746016825
7,Mark Keppel High,1,0,158.0,119.0,66804,20142,0.04451997011111915,0.24940342757972378,0.32860896184346905,0.12558150746016825
8,Aliso Niguel High,1,0,86.0,62.0,116350,19235,0.009813150763086578,0.1194408786193125,0.4353159321066895,0.20861503351875624
9,Alta Loma High,1,0,58.0,46.0,100653,13347,0.014295774647887324,0.22140845070422535,0.3348239436619718,0.1269718309859155
10,American Canyon High,1,0,17.0,11.0,108638,5147,0.03794539565016196,0.2217337652321456,0.33109671448403516,0.08074965293845442
11,Anaheim High,1,0,73.0,49.0,71253,20112,0.05204044236531787,0.2702912453920279,0.22060059930584,0.06488886972643197
12,Canyon High,1,0,113.0,88.0,120435,12460,0.009049946540400183,0.18729952650068735,0.36593096074537956,0.16538109057583625
13,Esperanza High,1,0,55.0,37.0,120435,12460,0.009049946540400183,0.18729952650068735,0.36593096074537956,0.16538109057583625
14,Katella High,1,0,70.0,55.0,77570,12501,0.024286448015261575,0.2837332159366058,0.27874385501504145,0.07685817007850906
15,Loara High,1,0,40.0,23.0,66936,24772,0.0518479623293472,0.31874385988685255,0.2540567092381178,0.04820624004878214
16,Magnolia High,1,0,30.0,14.0,66936,24772,0.0518479623293472,0.31874385988685255,0.2540567092381178,0.04820624004878214
17,Savanna High,1,0,49.0,33.0,65683,18240,0.039406067208184334,0.3098728301797428,0.21114452838231462,0.05074952044900182
18,Western High,1,0,32.0,12.0,66936,24772,0.0518479623293472,0.31874385988685255,0.2540567092381178,0.04820624004878214
19,Antioch High,1,0,8.0,5.0,68224,21744,0.022311000502106666,0.3454275547405418,0.2139847621542559,0.04171851463750082
20,Deer Valley High,1,0,14.0,5.0,104275,12049,0.02638888888888889,0.24711538461538463,0.33600427350427353,0.08173076923076923
21,Academy for Academic Excellence,1,1,11.0,9.0,59084,12946,0.01963758282110641,0.3240999441206993,0.24024107926877944,0.07587610760756765
22,Apple Valley High,1,0,36.0,23.0,54738,13753,0.025897521396020896,0.3453743840539439,0.19391649068207922,0.06172427846319144
23,Granite Hills High,1,0,32.0,25.0,59084,12946,0.01963758282110641,0.3240999441206993,0.24024107926877944,0.07587610760756765
24,Aptos High,1,0,7.0,4.0,115633,10028,0.01429264872444852,0.11876382072164392,0.3849306941373173,0.24550995091958364
25,Arcadia High,1,0,293.0,213.0,84833,11763,0.027239829800771463,0.18169165307989024,0.44263729271881336,0.1810951604565157
26,Arleta High,1,0,19.0,8.0,64375,23398,0.0752722037253667,0.3225501664716998,0.12549866522691142,0.02248117819970605
27,Arroyo Grande High,1,0,17.0,12.0,91211,11496,0.006323737612081171,0.21798017932987257,0.3626710712600283,0.13874469089193014
28,Menlo-Atherton High,1,0,63.0,22.0,169352,15194,0.010299847535151618,0.0997797729967813,0.3157038793833644,0.42547857021853297
29,Azusa High,1,0,30.0,14.0,68058,15994,0.036778949634093845,0.2962225570383125,0.23052087817477399,0.08569199311235472
30,Highland High,1,0,15.0,10.0,54450,21974,0.03781454511936584,0.3097750944787538,0.18566227302055488,0.06936123144990322
31,Independence High,1,0,18.0,9.0,93200,15182,0.013729423156729838,0.21140545026974686,0.34019228109005395,0.1606722921565915
32,Liberty High,1,0,16.0,11.0,97615,18584,0.009698697523617865,0.22701101235396054,0.3200290681424339,0.10976018782492034
33,Ridgeview High,1,0,22.0,9.0,83312,15244,0.023390954714876882,0.3202829219616705,0.22440055175652276,0.04370029055263699
34,South High,1,0,26.0,19.0,41311,14649,0.0437605974241495,0.36033045925177676,0.1494281900501461,0.02781485623579494
35,Stockdale High,1,0,73.0,52.0,93200,15182,0.013729423156729838,0.21140545026974686,0.34019228109005395,0.1606722921565915
36,West High,1,0,12.0,6.0,52268,21448,0.022868145490992534,0.31706802416057817,0.212908501041859,0.06997599767889642
37,Baldwin Park High,1,0,39.0,16.0,68773,18032,0.07598197037990985,0.3419578918613046,0.1619153544459404,0.020507717223750707
38,Sierra Vista High,1,0,58.0,36.0,68773,18032,0.07598197037990985,0.3419578918613046,0.1619153544459404,0.020507717223750707
39,Banning High,1,0,51.0,21.0,44167,11988,0.020243439226519336,0.3314485497237569,0.18646408839779005,0.06573722375690608
40,Beaumont Senior High,1,0,86.0,55.0,86068,17269,0.020364269962701805,0.29694263700961043,0.26489885927418255,0.08690207181944407
41,Bell Senior High,1,0,74.0,59.0,46109,24232,0.06309613611600033,0.3225714525186489,0.09642108792221943,0.01215321431564831
42,Bell Gardens High,1,0,68.0,35.0,46109,24232,0.06309613611600033,0.3225714525186489,0.09642108792221943,0.01215321431564831
