,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
0,Adelanto High,1,0,10.0,5.0,61872,15607,0.014524414004841472,0.35280746295093585,0.17441105272480367,0.02698234634232745
1,Alameda Community Learning Center,1,1,21.0,14.0,96014,25477,0.019494569669978784,0.15013759636997667,0.39337856857761067,0.2186416822469172
2,Alameda High,1,0,116.0,69.0,96014,25477,0.019494569669978784,0.15013759636997667,0.39337856857761067,0.2186416822469172
3,Alameda High,1,0,18.0,11.0,96014,25477,0.019494569669978784,0.15013759636997667,0.39337856857761067,0.2186416822469172
4,Encinal Junior/Senior High,1,0,54.0,33.0,96014,25477,0.019494569669978784,0.15013759636997667,0.39337856857761067,0.2186416822469172
5,Albany High,1,0,115.0,55.0,107669,8129,0.007413897688211902,0.08755139179079328,0.37453663139448673,0.4078991709914403
6,Alhambra High,1,0,41.0,21.0,66804,20142,0.04451997011111915,0.24940342757972378,0.32860896184346905,0.12558150746016825
7,Mark Keppel High,1,0,53.0,37.0,66804,20142,0.04451997011111915,0.24940342757972378,0.32860896184346905,0.12558150746016825
8,Aliso Niguel High,1,0,129.0,44.0,116350,19235,0.009813150763086578,0.1194408786193125,0.4353159321066895,0.20861503351875624
9,Aveson Global Leadership Academy,1,1,6.0,4.0,104577,12460,0.02033333333333333,0.1605925925925926,0.3148518518518518,0.23155555555555554
10,American Canyon High,1,0,28.0,20.0,108638,5147,0.03794539565016196,0.2217337652321456,0.33109671448403516,0.08074965293845442
11,Anaheim High,1,0,24.0,16.0,71253,20112,0.05204044236531787,0.2702912453920279,0.22060059930584,0.06488886972643197
12,Canyon High,1,0,66.0,32.0,120435,12460,0.009049946540400183,0.18729952650068735,0.36593096074537956,0.16538109057583625
13,Esperanza High,1,0,24.0,17.0,120435,12460,0.009049946540400183,0.18729952650068735,0.36593096074537956,0.16538109057583625
14,Katella High,1,0,22.0,16.0,77570,12501,0.024286448015261575,0.2837332159366058,0.27874385501504145,0.07685817007850906
