,School,Public Yes/No,Charter Yes/No,App,Adm,Median income (dollars),Total,none,high,higher,grad
0,Adelanto High,1,0,31.0,14.0,61872,15607,0.014524414004841472,0.35280746295093585,0.17441105272480367,0.02698234634232745
1,Alameda Community Learning Center,1,1,18.0,6.0,96014,25477,0.019494569669978784,0.15013759636997667,0.39337856857761067,0.2186416822469172
2,Alameda High,1,0,133.0,29.0,96014,25477,0.019494569669978784,0.15013759636997667,0.39337856857761067,0.2186416822469172
3,Alameda High,1,0,27.0,10.0,96014,25477,0.019494569669978784,0.15013759636997667,0.39337856857761067,0.2186416822469172
4,Encinal Junior/Senior High,1,0,47.0,10.0,96014,25477,0.019494569669978784,0.15013759636997667,0.39337856857761067,0.2186416822469172
5,Albany High,1,0,117.0,22.0,107669,8129,0.007413897688211902,0.08755139179079328,0.37453663139448673,0.4078991709914403
6,Alhambra High,1,0,130.0,36.0,66804,20142,0.04451997011111915,0.24940342757972378,0.32860896184346905,0.12558150746016825
7,Mark Keppel High,1,0,193.0,58.0,66804,20142,0.04451997011111915,0.24940342757972378,0.32860896184346905,0.12558150746016825
8,Aliso Niguel High,1,0,194.0,45.0,116350,19235,0.009813150763086578,0.1194408786193125,0.4353159321066895,0.20861503351875624
9,Alta Loma High,1,0,56.0,20.0,100653,13347,0.014295774647887324,0.22140845070422535,0.3348239436619718,0.1269718309859155
10,American Canyon High,1,0,35.0,3.0,108638,5147,0.03794539565016196,0.2217337652321456,0.33109671448403516,0.08074965293845442
11,Anaheim High,1,0,56.0,24.0,71253,20112,0.05204044236531787,0.2702912453920279,0.22060059930584,0.06488886972643197
12,Canyon High,1,0,161.0,43.0,120435,12460,0.009049946540400183,0.18729952650068735,0.36593096074537956,0.16538109057583625
13,Esperanza High,1,0,72.0,12.0,120435,12460,0.009049946540400183,0.18729952650068735,0.36593096074537956,0.16538109057583625
14,Katella High,1,0,65.0,26.0,77570,12501,0.024286448015261575,0.2837332159366058,0.27874385501504145,0.07685817007850906
15,Loara High,1,0,47.0,10.0,66936,24772,0.0518479623293472,0.31874385988685255,0.2540567092381178,0.04820624004878214
16,Magnolia High,1,0,25.0,11.0,66936,24772,0.0518479623293472,0.31874385988685255,0.2540567092381178,0.04820624004878214
17,Savanna High,1,0,39.0,14.0,65683,18240,0.039406067208184334,0.3098728301797428,0.21114452838231462,0.05074952044900182
18,Western High,1,0,23.0,9.0,66936,24772,0.0518479623293472,0.31874385988685255,0.2540567092381178,0.04820624004878214
19,Antelope High,1,0,37.0,8.0,82000,14602,0.026930977144533925,0.32600828143849236,0.29154575983828374,0.05960027387434384
20,Antioch High,1,0,19.0,8.0,68224,21744,0.022311000502106666,0.3454275547405418,0.2139847621542559,0.04171851463750082
21,Deer Valley High,1,0,35.0,11.0,104275,12049,0.02638888888888889,0.24711538461538463,0.33600427350427353,0.08173076923076923
22,Dozier-Libbey Medical High,1,0,14.0,4.0,104275,12049,0.02638888888888889,0.24711538461538463,0.33600427350427353,0.08173076923076923
23,Hamilton,1,0,3.0,,52857,1476,0.008575197889182058,0.3970976253298153,0.15237467018469658,0.08575197889182058
24,Academy for Academic Excellence,1,1,12.0,6.0,59084,12946,0.01963758282110641,0.3240999441206993,0.24024107926877944,0.07587610760756765
25,Apple Valley High,1,0,37.0,10.0,54738,13753,0.025897521396020896,0.3453743840539439,0.19391649068207922,0.06172427846319144
26,Granite Hills High,1,0,36.0,19.0,59084,12946,0.01963758282110641,0.3240999441206993,0.24024107926877944,0.07587610760756765
27,Arcadia High,1,0,394.0,99.0,84833,11763,0.027239829800771463,0.18169165307989024,0.44263729271881336,0.1810951604565157
28,Arcata High,1,0,19.0,6.0,42636,8149,0.009024672959099188,0.15888392117900316,0.4113263785394933,0.17386984600099353
29,Northcoast Preparatory and Performing Arts Academy,1,1,8.0,5.0,42636,8149,0.009024672959099188,0.15888392117900316,0.4113263785394933,0.17386984600099353
30,Arroyo Grande High,1,0,50.0,10.0,91211,11496,0.006323737612081171,0.21798017932987257,0.3626710712600283,0.13874469089193014
31,Arvin High,1,0,18.0,4.0,40045,5077,0.10514122783569456,0.2659716653301256,0.05346164127238706,0.007751937984496124
32,Menlo-Atherton High,1,0,153.0,31.0,169352,15194,0.010299847535151618,0.0997797729967813,0.3157038793833644,0.42547857021853297
33,Buhach Colony High,1,0,29.0,6.0,60993,12719,0.039184027094081045,0.28484227936832984,0.20147284684755642,0.04241326349781436
34,Azusa High,1,0,23.0,11.0,68058,15994,0.036778949634093845,0.2962225570383125,0.23052087817477399,0.08569199311235472
35,Bakersfield High,1,0,31.0,13.0,31089,4793,0.011861568518001674,0.3078425900083729,0.20220485626569915,0.059168294725090706
