Calculation1,School,City,County/State/ Territory,Count,Uad Uc Ethn 6 Cat,School name,Pivot Field Values
ABRAHAM LINCOLN HIGH SCHOOL52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,Adm,Domestic unknown,Abraham lincoln high school,3
ABRAHAM LINCOLN HIGH SCHOOL52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,App,White,Abraham lincoln high school,13
ABRAHAM LINCOLN HIGH SCHOOL52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,Enr,Asian,Abraham lincoln high school,17
ABRAHAM LINCOLN HIGH SCHOOL52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,Adm,Asian,Abraham lincoln high school,19
ABRAHAM LINCOLN HIGH SCHOOL52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,App,Asian,Abraham lincoln high school,148
ABRAHAM LINCOLN HIGH SCHOOL52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,App,Hispanic/ Latino,Abraham lincoln high school,26
ABRAHAM LINCOLN HIGH SCHOOL52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,App,African American,Abraham lincoln high school,7
ABRAHAM LINCOLN HIGH SCHOOL52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,Enr,All,Abraham lincoln high school,20
ABRAHAM LINCOLN HIGH SCHOOL52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,Adm,All,Abraham lincoln high school,24
ABRAHAM LINCOLN HIGH SCHOOL52910,ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,App,All,Abraham lincoln high school,205
ABRAHAM LINCOLN HIGH SCHOOL53075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,App,White,Abraham lincoln high school,9
ABRAHAM LINCOLN HIGH SCHOOL53075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,Adm,Asian,Abraham lincoln high school,3
ABRAHAM LINCOLN HIGH SCHOOL53075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,App,Asian,Abraham lincoln high school,13
ABRAHAM LINCOLN HIGH SCHOOL53075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,Adm,Hispanic/ Latino,Abraham lincoln high school,3
ABRAHAM LINCOLN HIGH SCHOOL53075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,App,Hispanic/ Latino,Abraham lincoln high school,21
ABRAHAM LINCOLN HIGH SCHOOL53075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,App,African American,Abraham lincoln high school,4
ABRAHAM LINCOLN HIGH SCHOOL53075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,Enr,All,Abraham lincoln high school,4
ABRAHAM LINCOLN HIGH SCHOOL53075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,Adm,All,Abraham lincoln high school,8
ABRAHAM LINCOLN HIGH SCHOOL53075,ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,App,All,Abraham lincoln high school,48
ACADEMIA AVANCE CHARTER SCHOOL54247,ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,App,Hispanic/ Latino,Academia avance charter school,7
ACADEMIA AVANCE CHARTER SCHOOL54247,ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,App,All,Academia avance charter school,7
ACADEMIC LEADERSHIP COMMUNITY54254,ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,App,Hispanic/ Latino,Academic leadership community,5
ACADEMIC LEADERSHIP COMMUNITY54254,ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,App,All,Academic leadership community,7
ACADEMY OF MEDICAL ARTS AT CARSON54618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,App,Asian,Academy of medical arts at carson,12
ACADEMY OF MEDICAL ARTS AT CARSON54618,ACADEMY OF MEDICAL ARTS AT CARSON,Carson,Los Angeles,App,Hispanic/ Latino,Academy of medical arts at carson,5
