Calculation1,School,City,County/State/ Territory,Count,Uad Uc Ethn 6 Cat,School name,Pivot Field Values
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Adm,White,Academy our lady of peace,4
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,App,White,Academy our lady of peace,6
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Adm,Asian,Academy our lady of peace,3
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,App,Asian,Academy our lady of peace,10
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Adm,Hispanic/ Latino,Academy our lady of peace,13
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,App,Hispanic/ Latino,Academy our lady of peace,25
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Adm,All,Academy our lady of peace,22
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,App,All,Academy our lady of peace,44
AL ARQAM COLL PREPARATORY SCH54175,AL ARQAM COLL PREPARATORY SCH,Sacramento,Sacramento,Adm,White,Al arqam coll preparatory sch,3
AL ARQAM COLL PREPARATORY SCH54175,AL ARQAM COLL PREPARATORY SCH,Sacramento,Sacramento,App,White,Al arqam coll preparatory sch,4
AL ARQAM COLL PREPARATORY SCH54175,AL ARQAM COLL PREPARATORY SCH,Sacramento,Sacramento,App,Asian,Al arqam coll preparatory sch,3
AL ARQAM COLL PREPARATORY SCH54175,AL ARQAM COLL PREPARATORY SCH,Sacramento,Sacramento,Enr,All,Al arqam coll preparatory sch,4
AL ARQAM COLL PREPARATORY SCH54175,AL ARQAM COLL PREPARATORY SCH,Sacramento,Sacramento,Adm,All,Al arqam coll preparatory sch,6
AL ARQAM COLL PREPARATORY SCH54175,AL ARQAM COLL PREPARATORY SCH,Sacramento,Sacramento,App,All,Al arqam coll preparatory sch,8
AMBASSADOR HIGH SCHOOL54687,AMBASSADOR HIGH SCHOOL,Torrance,Los Angeles,App,All,Ambassador high school,3
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,Adm,Inter- national,Aquinas high school,4
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,App,Inter- national,Aquinas high school,10
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,Adm,Hispanic/ Latino,Aquinas high school,4
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,App,Hispanic/ Latino,Aquinas high school,8
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,Enr,All,Aquinas high school,3
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,Adm,All,Aquinas high school,8
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,App,All,Aquinas high school,22
AQUINAS INTERNATIONAL ACADEMY50517,AQUINAS INTERNATIONAL ACADEMY,Garden Grove,Orange,App,Inter- national,Aquinas international academy,25
AQUINAS INTERNATIONAL ACADEMY50517,AQUINAS INTERNATIONAL ACADEMY,Garden Grove,Orange,Enr,All,Aquinas international academy,3
