Calculation1,School,City,County/State/ Territory,Count,Uad Uc Ethn 6 Cat,School name,Pivot Field Values
ANAHEIM DISC CHRISTIAN J/S HS50146,ANAHEIM DISC CHRISTIAN J/S HS,Anaheim,Orange,Adm,Inter- national,Anaheim disc christian j/s hs,4
ANAHEIM DISC CHRISTIAN J/S HS50146,ANAHEIM DISC CHRISTIAN J/S HS,Anaheim,Orange,App,Inter- national,Anaheim disc christian j/s hs,6
ANAHEIM DISC CHRISTIAN J/S HS50146,ANAHEIM DISC CHRISTIAN J/S HS,Anaheim,Orange,Enr,All,Anaheim disc christian j/s hs,3
ANAHEIM DISC CHRISTIAN J/S HS50146,ANAHEIM DISC CHRISTIAN J/S HS,Anaheim,Orange,Adm,All,Anaheim disc christian j/s hs,5
ANAHEIM DISC CHRISTIAN J/S HS50146,ANAHEIM DISC CHRISTIAN J/S HS,Anaheim,Orange,App,All,Anaheim disc christian j/s hs,8
APOSTLES LUTHERAN SCHOOL54682,APOSTLES LUTHERAN SCHOOL,San Jose,Santa Clara,App,Inter- national,Apostles lutheran school,4
APOSTLES LUTHERAN SCHOOL54682,APOSTLES LUTHERAN SCHOOL,San Jose,Santa Clara,App,All,Apostles lutheran school,5
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,App,Inter- national,Aquinas high school,13
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,App,Asian,Aquinas high school,7
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,App,Hispanic/ Latino,Aquinas high school,14
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,App,African American,Aquinas high school,3
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,Adm,All,Aquinas high school,4
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,App,All,Aquinas high school,39
AQUINAS INTERNATIONAL ACADEMY50517,AQUINAS INTERNATIONAL ACADEMY,Garden Grove,Orange,App,Inter- national,Aquinas international academy,27
AQUINAS INTERNATIONAL ACADEMY50517,AQUINAS INTERNATIONAL ACADEMY,Garden Grove,Orange,Adm,All,Aquinas international academy,5
AQUINAS INTERNATIONAL ACADEMY50517,AQUINAS INTERNATIONAL ACADEMY,Garden Grove,Orange,App,All,Aquinas international academy,27
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,App,Domestic unknown,Archbishop mitty high school,13
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Adm,White,Archbishop mitty high school,5
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,App,White,Archbishop mitty high school,45
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Adm,Asian,Archbishop mitty high school,9
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,App,Asian,Archbishop mitty high school,112
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Adm,Hispanic/ Latino,Archbishop mitty high school,3
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,App,Hispanic/ Latino,Archbishop mitty high school,26
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Adm,African American,Archbishop mitty high school,4
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,App,African American,Archbishop mitty high school,12
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Enr,All,Archbishop mitty high school,5
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Adm,All,Archbishop mitty high school,22
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,App,All,Archbishop mitty high school,208
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,App,Inter- national,Archbishop riordan high school,4
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,App,White,Archbishop riordan high school,3
