Calculation1,School,City,County/State/ Territory,Count,Uad Uc Ethn 6 Cat,School name,Pivot Field Values
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Adm,Domestic unknown,Academy our lady of peace,4
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,App,Domestic unknown,Academy our lady of peace,5
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Enr,White,Academy our lady of peace,9
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Adm,White,Academy our lady of peace,18
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,App,White,Academy our lady of peace,28
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Enr,Asian,Academy our lady of peace,4
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Adm,Asian,Academy our lady of peace,12
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,App,Asian,Academy our lady of peace,20
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Enr,Hispanic/ Latino,Academy our lady of peace,8
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Adm,Hispanic/ Latino,Academy our lady of peace,46
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,App,Hispanic/ Latino,Academy our lady of peace,72
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Enr,All,Academy our lady of peace,21
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Adm,All,Academy our lady of peace,82
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,App,All,Academy our lady of peace,129
AGBU MANOOGIAN-DEMIRDJIAN SCH50462,AGBU MANOOGIAN-DEMIRDJIAN SCH,Canoga Park,Los Angeles,Adm,White,Agbu manoogian-demirdjian sch,11
AGBU MANOOGIAN-DEMIRDJIAN SCH50462,AGBU MANOOGIAN-DEMIRDJIAN SCH,Canoga Park,Los Angeles,App,White,Agbu manoogian-demirdjian sch,18
AGBU MANOOGIAN-DEMIRDJIAN SCH50462,AGBU MANOOGIAN-DEMIRDJIAN SCH,Canoga Park,Los Angeles,Adm,All,Agbu manoogian-demirdjian sch,12
AGBU MANOOGIAN-DEMIRDJIAN SCH50462,AGBU MANOOGIAN-DEMIRDJIAN SCH,Canoga Park,Los Angeles,App,All,Agbu manoogian-demirdjian sch,19
AL ARQAM COLL PREPARATORY SCH54175,AL ARQAM COLL PREPARATORY SCH,Sacramento,Sacramento,Adm,White,Al arqam coll preparatory sch,4
AL ARQAM COLL PREPARATORY SCH54175,AL ARQAM COLL PREPARATORY SCH,Sacramento,Sacramento,App,White,Al arqam coll preparatory sch,4
AL ARQAM COLL PREPARATORY SCH54175,AL ARQAM COLL PREPARATORY SCH,Sacramento,Sacramento,Adm,Asian,Al arqam coll preparatory sch,3
AL ARQAM COLL PREPARATORY SCH54175,AL ARQAM COLL PREPARATORY SCH,Sacramento,Sacramento,App,Asian,Al arqam coll preparatory sch,3
AL ARQAM COLL PREPARATORY SCH54175,AL ARQAM COLL PREPARATORY SCH,Sacramento,Sacramento,Enr,All,Al arqam coll preparatory sch,4
AL ARQAM COLL PREPARATORY SCH54175,AL ARQAM COLL PREPARATORY SCH,Sacramento,Sacramento,Adm,All,Al arqam coll preparatory sch,8
AL ARQAM COLL PREPARATORY SCH54175,AL ARQAM COLL PREPARATORY SCH,Sacramento,Sacramento,App,All,Al arqam coll preparatory sch,8
ALSION MONTESSORI MIDDLE/HIGH53989,ALSION MONTESSORI MIDDLE/HIGH,Fremont,Alameda,Enr,Asian,Alsion montessori middle/high,4
ALSION MONTESSORI MIDDLE/HIGH53989,ALSION MONTESSORI MIDDLE/HIGH,Fremont,Alameda,Adm,Asian,Alsion montessori middle/high,5
ALSION MONTESSORI MIDDLE/HIGH53989,ALSION MONTESSORI MIDDLE/HIGH,Fremont,Alameda,App,Asian,Alsion montessori middle/high,5
ALSION MONTESSORI MIDDLE/HIGH53989,ALSION MONTESSORI MIDDLE/HIGH,Fremont,Alameda,Enr,All,Alsion montessori middle/high,5
ALSION MONTESSORI MIDDLE/HIGH53989,ALSION MONTESSORI MIDDLE/HIGH,Fremont,Alameda,Adm,All,Alsion montessori middle/high,6
ALSION MONTESSORI MIDDLE/HIGH53989,ALSION MONTESSORI MIDDLE/HIGH,Fremont,Alameda,App,All,Alsion montessori middle/high,6
ALVERNO HIGH SCHOOL53378,ALVERNO HIGH SCHOOL,Sierra Madre,Los Angeles,Adm,Asian,Alverno high school,3
ALVERNO HIGH SCHOOL53378,ALVERNO HIGH SCHOOL,Sierra Madre,Los Angeles,App,Asian,Alverno high school,4
ALVERNO HIGH SCHOOL53378,ALVERNO HIGH SCHOOL,Sierra Madre,Los Angeles,Adm,Hispanic/ Latino,Alverno high school,8
ALVERNO HIGH SCHOOL53378,ALVERNO HIGH SCHOOL,Sierra Madre,Los Angeles,App,Hispanic/ Latino,Alverno high school,14
ALVERNO HIGH SCHOOL53378,ALVERNO HIGH SCHOOL,Sierra Madre,Los Angeles,App,African American,Alverno high school,3
ALVERNO HIGH SCHOOL53378,ALVERNO HIGH SCHOOL,Sierra Madre,Los Angeles,Enr,All,Alverno high school,4
ALVERNO HIGH SCHOOL53378,ALVERNO HIGH SCHOOL,Sierra Madre,Los Angeles,Adm,All,Alverno high school,13
ALVERNO HIGH SCHOOL53378,ALVERNO HIGH SCHOOL,Sierra Madre,Los Angeles,App,All,Alverno high school,21
AMBASSADOR HIGH SCHOOL54687,AMBASSADOR HIGH SCHOOL,Torrance,Los Angeles,Adm,White,Ambassador high school,3
AMBASSADOR HIGH SCHOOL54687,AMBASSADOR HIGH SCHOOL,Torrance,Los Angeles,App,White,Ambassador high school,5
AMBASSADOR HIGH SCHOOL54687,AMBASSADOR HIGH SCHOOL,Torrance,Los Angeles,Adm,All,Ambassador high school,4
