Calculation1,School,City,County/State/ Territory,Count,Uad Uc Ethn 6 Cat,School name,Pivot Field Values
AMBASSADOR HIGH SCHOOL54687,AMBASSADOR HIGH SCHOOL,Torrance,Los Angeles,App,All,Ambassador high school,3
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,Adm,Inter- national,Aquinas high school,7
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,App,Inter- national,Aquinas high school,10
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,Adm,Asian,Aquinas high school,3
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,App,Asian,Aquinas high school,7
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,Enr,Hispanic/ Latino,Aquinas high school,7
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,Adm,Hispanic/ Latino,Aquinas high school,17
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,App,Hispanic/ Latino,Aquinas high school,18
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,App,African American,Aquinas high school,6
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,Enr,All,Aquinas high school,10
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,Adm,All,Aquinas high school,30
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,App,All,Aquinas high school,44
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Adm,Domestic unknown,Archbishop mitty high school,4
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,App,Domestic unknown,Archbishop mitty high school,4
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Adm,White,Archbishop mitty high school,6
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,App,White,Archbishop mitty high school,9
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Adm,Asian,Archbishop mitty high school,25
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,App,Asian,Archbishop mitty high school,33
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Adm,Hispanic/ Latino,Archbishop mitty high school,3
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,App,Hispanic/ Latino,Archbishop mitty high school,8
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Enr,All,Archbishop mitty high school,3
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Adm,All,Archbishop mitty high school,38
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,App,All,Archbishop mitty high school,55
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,Adm,Inter- national,Archbishop riordan high school,5
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,App,Inter- national,Archbishop riordan high school,5
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,Enr,Asian,Archbishop riordan high school,3
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,Adm,Asian,Archbishop riordan high school,8
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,App,Asian,Archbishop riordan high school,9
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,Adm,Hispanic/ Latino,Archbishop riordan high school,3
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,App,Hispanic/ Latino,Archbishop riordan high school,7
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,App,African American,Archbishop riordan high school,3
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,Enr,All,Archbishop riordan high school,4
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,Adm,All,Archbishop riordan high school,18
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,App,All,Archbishop riordan high school,28
ARMENIAN MESROBIAN HIGH SCHOOL52653,ARMENIAN MESROBIAN HIGH SCHOOL,Pico Rivera,Los Angeles,App,White,Armenian mesrobian high school,6
ARMENIAN MESROBIAN HIGH SCHOOL52653,ARMENIAN MESROBIAN HIGH SCHOOL,Pico Rivera,Los Angeles,Adm,All,Armenian mesrobian high school,4
ARMENIAN MESROBIAN HIGH SCHOOL52653,ARMENIAN MESROBIAN HIGH SCHOOL,Pico Rivera,Los Angeles,App,All,Armenian mesrobian high school,6
