Calculation1,School,City,County/State/ Territory,Count,Uad Uc Ethn 6 Cat,School name,Pivot Field Values
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Adm,Domestic unknown,Academy our lady of peace,3
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,App,Domestic unknown,Academy our lady of peace,5
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,App,White,Academy our lady of peace,19
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Adm,Asian,Academy our lady of peace,3
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,App,Asian,Academy our lady of peace,13
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Adm,Hispanic/ Latino,Academy our lady of peace,7
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,App,Hispanic/ Latino,Academy our lady of peace,57
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Adm,All,Academy our lady of peace,13
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,App,All,Academy our lady of peace,98
ALSION MONTESSORI MIDDLE/HIGH53989,ALSION MONTESSORI MIDDLE/HIGH,Fremont,Alameda,App,Asian,Alsion montessori middle/high,4
ALSION MONTESSORI MIDDLE/HIGH53989,ALSION MONTESSORI MIDDLE/HIGH,Fremont,Alameda,App,All,Alsion montessori middle/high,5
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,App,Domestic unknown,Archbishop mitty high school,13
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Adm,White,Archbishop mitty high school,6
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,App,White,Archbishop mitty high school,54
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Enr,Asian,Archbishop mitty high school,11
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Adm,Asian,Archbishop mitty high school,24
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,App,Asian,Archbishop mitty high school,124
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,App,Hispanic/ Latino,Archbishop mitty high school,26
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,App,African American,Archbishop mitty high school,14
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Enr,All,Archbishop mitty high school,14
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Adm,All,Archbishop mitty high school,33
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,App,All,Archbishop mitty high school,231
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,App,Inter- national,Archbishop riordan high school,5
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,App,White,Archbishop riordan high school,7
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,App,Asian,Archbishop riordan high school,11
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,App,Hispanic/ Latino,Archbishop riordan high school,7
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,App,African American,Archbishop riordan high school,3
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,Adm,All,Archbishop riordan high school,3
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,App,All,Archbishop riordan high school,34
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,App,White,Archer school for girls,10
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,App,Asian,Archer school for girls,6
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,App,Hispanic/ Latino,Archer school for girls,3
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,Adm,African American,Archer school for girls,3
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,App,African American,Archer school for girls,8
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,Enr,All,Archer school for girls,3
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,Adm,All,Archer school for girls,6
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,App,All,Archer school for girls,27
ARETE PREPARATORY ACADEMY54224,ARETE PREPARATORY ACADEMY,Los Angeles,Los Angeles,App,All,Arete preparatory academy,3
ARMENIAN MESROBIAN HIGH SCHOOL52653,ARMENIAN MESROBIAN HIGH SCHOOL,Pico Rivera,Los Angeles,App,White,Armenian mesrobian high school,22
ARMENIAN MESROBIAN HIGH SCHOOL52653,ARMENIAN MESROBIAN HIGH SCHOOL,Pico Rivera,Los Angeles,Enr,All,Armenian mesrobian high school,3
ARMENIAN MESROBIAN HIGH SCHOOL52653,ARMENIAN MESROBIAN HIGH SCHOOL,Pico Rivera,Los Angeles,Adm,All,Armenian mesrobian high school,3
ARMENIAN MESROBIAN HIGH SCHOOL52653,ARMENIAN MESROBIAN HIGH SCHOOL,Pico Rivera,Los Angeles,App,All,Armenian mesrobian high school,22
ARMY AND NAVY ACADEMY50470,ARMY AND NAVY ACADEMY,Carlsbad,San Diego,App,Inter- national,Army and navy academy,5
ARMY AND NAVY ACADEMY50470,ARMY AND NAVY ACADEMY,Carlsbad,San Diego,App,White,Army and navy academy,3
ARMY AND NAVY ACADEMY50470,ARMY AND NAVY ACADEMY,Carlsbad,San Diego,App,Asian,Army and navy academy,10
ARMY AND NAVY ACADEMY50470,ARMY AND NAVY ACADEMY,Carlsbad,San Diego,App,All,Army and navy academy,22
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,App,Inter- national,Athenian school,4
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,App,Domestic unknown,Athenian school,4
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,App,White,Athenian school,16
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,Adm,Asian,Athenian school,7
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,App,Asian,Athenian school,12
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,App,Hispanic/ Latino,Athenian school,3
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,App,African American,Athenian school,4
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,Enr,All,Athenian school,3
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,Adm,All,Athenian school,8
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,App,All,Athenian school,43
BAKERSFIELD CHRISTIAN HS50208,BAKERSFIELD CHRISTIAN HS,Bakersfield,Kern,App,White,Bakersfield christian hs,18
BAKERSFIELD CHRISTIAN HS50208,BAKERSFIELD CHRISTIAN HS,Bakersfield,Kern,App,Hispanic/ Latino,Bakersfield christian hs,5
BAKERSFIELD CHRISTIAN HS50208,BAKERSFIELD CHRISTIAN HS,Bakersfield,Kern,App,African American,Bakersfield christian hs,3
BAKERSFIELD CHRISTIAN HS50208,BAKERSFIELD CHRISTIAN HS,Bakersfield,Kern,Adm,All,Bakersfield christian hs,4
BAKERSFIELD CHRISTIAN HS50208,BAKERSFIELD CHRISTIAN HS,Bakersfield,Kern,App,All,Bakersfield christian hs,29
BASIS INDEPENDENT SILICON VLY54776,BASIS INDEPENDENT SILICON VLY,San Jose,Santa Clara,App,Inter- national,Basis independent silicon vly,6
BASIS INDEPENDENT SILICON VLY54776,BASIS INDEPENDENT SILICON VLY,San Jose,Santa Clara,Adm,Domestic unknown,Basis independent silicon vly,3
BASIS INDEPENDENT SILICON VLY54776,BASIS INDEPENDENT SILICON VLY,San Jose,Santa Clara,App,White,Basis independent silicon vly,5
