Calculation1,School,City,County/State/ Territory,Count,Uad Uc Ethn 6 Cat,School name,Pivot Field Values
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,App,Domestic unknown,Academy our lady of peace,3
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Adm,White,Academy our lady of peace,7
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,App,White,Academy our lady of peace,14
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Adm,Asian,Academy our lady of peace,6
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,App,Asian,Academy our lady of peace,12
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Adm,Hispanic/ Latino,Academy our lady of peace,20
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,App,Hispanic/ Latino,Academy our lady of peace,43
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Enr,All,Academy our lady of peace,4
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Adm,All,Academy our lady of peace,36
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,App,All,Academy our lady of peace,74
AGBU MANOOGIAN-DEMIRDJIAN SCH50462,AGBU MANOOGIAN-DEMIRDJIAN SCH,Canoga Park,Los Angeles,App,White,Agbu manoogian-demirdjian sch,15
AGBU MANOOGIAN-DEMIRDJIAN SCH50462,AGBU MANOOGIAN-DEMIRDJIAN SCH,Canoga Park,Los Angeles,App,All,Agbu manoogian-demirdjian sch,16
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,App,Inter- national,Aquinas high school,12
