Record Type,School,Charter Yes/No,Public Yes/No,Street City,Street Zip,
School,Alternatives in Action,Y,Y,Oakland,94621-4107,
School,Connecting Waters Charter - East Bay,Y,Y,Union City,94587-2195,
School,Envision Academy for Arts & Technology,Y,Y,Oakland,94612-3355,
School,Advance College Academy,N,N,Alameda,94501,
School,Alameda Community Learning Center,Y,Y,Alameda,94501-1851,
School,Alameda High,N,Y,Alameda,94501-4406,
School,Alameda Science and Technology Institute,N,Y,Alameda,94501-2109,
School,Encinal Junior/Senior High,N,Y,Alameda,94501-3246,
School,Island High (Continuation),N,Y,Alameda,94501-2125,
School,Nea Community Learning Center,Y,Y,Alameda,94501-1851,
School,Saint Joseph Notre Dame High School,N,N,Alameda,94501-4315,
School,Albany High,N,Y,Albany,94706-1422,
School,MacGregor High (Continuation),N,Y,Albany,94706-1422,
School,Tilden Preparatory School,N,N,Albany,94706-1734,
School,Bayhill High,N,N,Berkeley,94709-2136,
School,Berkeley High,N,Y,Berkeley,94704-1463,
School,Berkeley Independent Study K-8,N,Y,Berkeley,94703-2165,
School,Berkeley Technology Academy,N,Y,Berkeley,94704-2165,
School,Fusion Academy Berkeley,N,N,Berkeley,94710-2076,
School,Maybeck High School,N,N,Berkeley,94705-1247,
School,Saint Mary's College High School,N,N,Berkeley,94706-2599,
School,Castro Valley High,N,Y,Castro Valley,94546-3400,
School,Castro Valley Virtual Academy,N,Y,Castro Valley,94546-2020,
School,OneSchool Global - San Francisco,N,N,Castro Valley,94546-2902,
School,Redwood Continuation High,N,Y,Castro Valley,94546-0146,
School,Dublin High,N,Y,Dublin,94568-1656,
School,Valley Christian Middle / Senior High School,N,N,Dublin,94568-2838,
School,Valley High (Continuation),N,Y,Dublin,94568-1656,
School,York Alternative Learning Center,N,Y,Dublin,94568-2153,
School,Emery Secondary,N,Y,Emeryville,94608-2908,
School,Alsion Montessori Middle/High,N,N,Fremont,94539-5855,
School,American High,N,Y,Fremont,94536-3511,
School,Averroes High School,N,N,Fremont,94539-5830,
School,Circle of Independent Learning,Y,Y,Fremont,94538-1124,
School,Fremont Christian School,N,N,Fremont,94536-6409,
School,Irvington High,N,Y,Fremont,94538-3353,
School,John F. Kennedy High,N,Y,Fremont,94538-1913,
School,Mission San Jose High,N,Y,Fremont,94539-4799,
School,Reeder Academy,N,N,Fremont,94539-6777,
School,Rivendell Academy of Fremont,N,N,Fremont,94555-1036,
School,Robertson High (Continuation),N,Y,Fremont,94538-4028,
School,Vista Alternative,N,Y,Fremont,94538-4028,
School,Washington High,N,Y,Fremont,94536-6031,
School,Brenkwitz High,N,Y,Hayward,94541-3817,
School,California Crosspoint Academy,N,N,Hayward,94545-2352,
School,Hayward High,N,Y,Hayward,94541-5314,
School,Hayward Twin Oaks Montessori,Y,Y,Hayward,94542-1048,
School,Impact Academy of Arts & Technology,Y,Y,Hayward,94545-3451,
